X_u,Y_u,Z_u,RxTime_s
,,,1.0
,,,0.0
,,,2.0
,,,0.0
,,,3.0
,,,0.0
,,,4.0
5705161.02971873,3222094.6908835536,85240.0849263934,0.0
-2695190.10889723,-4298919.940171261,3851697.2386813057,402845.0
-2695192.43764422,-4298917.712311401,3851699.1207710537,402846.0
-2695194.0082693133,-4298913.156730399,3851701.319067572,402847.0
-2695202.6073059523,-4298914.939823186,3851708.096546807,402848.0
-2695201.133790408,-4298919.765445422,3851714.9277096987,402849.0
-2695199.5799602163,-4298914.566265967,3851708.010565052,402850.0
-2695206.821368702,-4298912.235295845,3851716.2424713597,402851.0
-2695209.8892098474,-4298909.583795795,3851717.441742296,402852.0
-2695211.327228621,-4298907.045273452,3851706.87771264,402853.0
-2695221.001006803,-4298912.401012516,3851705.0523793856,402854.0
-2695245.5921528684,-4298923.5995039465,3851708.8103020573,402855.0
-2695236.565261991,-4298908.114019665,3851694.708762369,402856.0
-2695243.5496562473,-4298917.384382587,3851695.321686083,402857.0
-2695236.632268707,-4298910.545779289,3851683.6624551043,402858.0
-2695244.0597051643,-4298915.53660734,3851682.098686909,402859.0
-2695250.2324280133,-4298918.663737575,3851675.973142412,402860.0
-2695255.1491600107,-4298920.938457455,3851665.66046762,402861.0
-2695265.1443448965,-4298924.479528345,3851665.294615531,402862.0
-2695270.399021823,-4298925.779514726,3851662.384436451,402863.0
-2695276.9018083606,-4298929.289859752,3851660.080527647,402864.0
-2695276.92669057,-4298929.036182035,3851656.569511174,402865.0
-2695272.44903737,-4298925.248793095,3851648.3241052167,402866.0
-2695273.6925727506,-4298926.319211444,3851650.091746818,402867.0
-2695274.843221336,-4298925.577507935,3851648.14820277,402868.0
-2695265.6598675805,-4298915.759265993,3851641.782550292,402869.0
-2695274.521214073,-4298921.951371924,3851648.637108762,402870.0
-2695272.2659280202,-4298919.620318459,3851642.5371544138,402871.0
-2695276.892892007,-4298922.199836484,3851646.0768361823,402872.0
-2695288.9853058294,-4298927.018338013,3851649.9695237805,402873.0
-2695290.402832134,-4298921.087025275,3851651.0725336596,402874.0
-2695293.3342058165,-4298916.192714261,3851652.7338886685,402875.0
-2695303.6309874295,-4298918.193036068,3851662.600049393,402876.0
-2695308.4647647096,-4298913.714950425,3851665.332270234,402877.0
-2695314.404908902,-4298906.293621919,3851664.3444431135,402878.0
-2695323.058069631,-4298898.443560951,3851666.773761485,402879.0
-2695322.1874520704,-4298888.394926327,3851671.9907506113,402880.0
-2695317.137599542,-4298876.269665124,3851671.5178179736,402881.0
-2695318.876759514,-4298872.304639986,3851671.5654966924,402882.0
-2695327.513892123,-4298871.830511661,3851675.140679594,402883.0
-2695329.591884083,-4298869.363540371,3851679.29874199,402884.0
-2695324.5974646346,-4298877.919970211,3851677.09235355,402885.0
-2695328.3724938016,-4298866.595165001,3851681.205354646,402886.0
-2695327.609595828,-4298865.812809101,3851679.742102212,402887.0
-2695316.2683507875,-4298861.259993297,3851669.2690611947,402888.0
-2695325.7998725446,-4298866.349143843,3851675.104897594,402889.0
-2695338.964785583,-4298875.795866286,3851683.248020077,402890.0
-2695340.2181605455,-4298878.767831138,3851685.0987989805,402891.0
-2695331.6043982455,-4298862.5516129015,3851683.424572412,402892.0
-2695325.2641148265,-4298858.252639142,3851676.8746042335,402893.0
-2695327.0318138264,-4298862.536334276,3851674.0151016344,402894.0
-2695335.4135710727,-4298872.920670385,3851684.416957083,402895.0
-2695336.6808599113,-4298875.87740534,3851689.0077403244,402896.0
-2695337.897757939,-4298869.840583739,3851688.0368261426,402897.0
-2695341.906198287,-4298863.906953057,3851685.3453557063,402898.0
-2695330.163534969,-4298866.705856798,3851682.5277859387,402899.0
-2695336.634679472,-4298869.585118097,3851682.183461651,402900.0
-2695339.193557366,-4298871.703691233,3851680.82356364,402901.0
-2695329.69825334,-4298865.285319915,3851672.2783288355,402902.0
-2695329.9143488803,-4298864.0747512635,3851673.621511447,402903.0
-2695332.057608992,-4298862.145361824,3851681.3053070633,402904.0
-2695331.536143192,-4298859.1381736295,3851677.634242132,402905.0
-2695341.435438896,-4298865.539746369,3851679.6163990693,402906.0
-2695339.6397510553,-4298862.559762413,3851681.0171752945,402907.0
-2695339.160818278,-4298860.6435190495,3851684.0422582584,402908.0
-2695327.001157501,-4298855.9215480145,3851679.5864108815,402909.0
-2695323.2891214867,-4298848.440812064,3851671.3078574142,402910.0
-2695338.3626289833,-4298851.992586349,3851683.665564512,402911.0
-2695337.586536813,-4298859.630763633,3851680.9921476883,402912.0
-2695347.0427487525,-4298863.70574857,3851685.8822561842,402913.0
-2695349.3227581554,-4298869.765194256,3851691.243727581,402914.0
-2695347.410437055,-4298865.745383486,3851687.7857220024,402915.0
-2695343.017212593,-4298865.611108949,3851686.255098936,402916.0
-2695337.8829374593,-4298861.782559944,3851683.0102110934,402917.0
-2695338.3224067986,-4298860.056035173,3851686.5378109943,402918.0
-2695342.7152267415,-4298863.118631981,3851690.5935224104,402919.0
-2695341.835436733,-4298863.958375633,3851691.0595401586,402920.0
-2695338.538864022,-4298861.962241776,3851689.205768428,402921.0
-2695325.213810647,-4298857.066130715,3851681.013049524,402922.0
-2695323.9472304448,-4298857.163410051,3851681.309592629,402923.0
-2695330.876191136,-4298857.262791522,3851680.9950147057,402924.0
-2695334.941673373,-4298860.517235893,3851684.8632750725,402925.0
-2695340.1908535147,-4298861.310544411,3851683.2332469127,402926.0
-2695340.144047935,-4298860.2686100025,3851685.438513384,402927.0
-2695350.027019133,-4298862.548700646,3851683.507889178,402928.0
-2695339.730258394,-4298854.179590769,3851677.8198354696,402929.0
-2695336.3470356334,-4298854.69771038,3851677.8555948613,402930.0
-2695334.155484275,-4298852.952380389,3851680.7507280484,402931.0
-2695332.6516074752,-4298857.030702332,3851690.0478166845,402932.0
-2695335.4531414574,-4298858.935092791,3851684.7015353255,402933.0
-2695342.8061788897,-4298864.976846434,3851694.0377456234,402934.0
-2695345.1551029063,-4298869.749897891,3851687.5849187966,402935.0
-2695327.334696312,-4298854.993122641,3851684.28428388,402936.0
-2695340.1596161197,-4298861.380646774,3851687.9643786727,402937.0
-2695337.0188839557,-4298857.994263913,3851687.040351623,402938.0
-2695336.394569928,-4298867.213666832,3851681.6392228696,402939.0
-2695340.278518201,-4298866.956934438,3851679.968025362,402940.0
-2695334.685522963,-4298867.955905455,3851685.3590888,402941.0
-2695330.089739106,-4298854.158244519,3851676.3536947942,402942.0
-2695336.3839141866,-4298862.38738494,3851686.9469941333,402943.0
-2695333.8846425004,-4298861.903221789,3851687.7689225376,402944.0
-2695335.675298256,-4298859.777053252,3851686.628830418,402945.0
-2695334.555435893,-4298859.11889199,3851683.380479208,402946.0
-2695330.376533773,-4298854.049307005,3851675.3609570223,402947.0
-2695328.805950275,-4298849.374470786,3851667.1762140766,402948.0
-2695340.9642586196,-4298863.322697004,3851681.7732806895,402949.0
-2695339.653830912,-4298864.535387422,3851684.524134746,402950.0
-2695338.36347876,-4298862.962613278,3851684.9141993863,402951.0
-2695340.752409799,-4298864.420469203,3851684.798537181,402952.0
-2695336.1201384575,-4298860.329984174,3851679.554994073,402953.0
-2695338.4405527394,-4298861.676370106,3851684.687806064,402954.0
-2695336.172849114,-4298857.381772337,3851680.418526904,402955.0
-2695332.219540215,-4298858.166943702,3851683.0324814892,402956.0
-2695332.4546279493,-4298860.049820474,3851684.067357737,402957.0
-2695332.74872509,-4298858.140630214,3851684.131015479,402958.0
-2695333.7093685945,-4298856.0137706585,3851683.7272812733,402959.0
-2695334.8518153476,-4298855.453425778,3851684.484814228,402960.0
-2695332.5339463674,-4298856.771384929,3851682.397837612,402961.0
-2695334.014391143,-4298858.178027459,3851682.6550123715,402962.0
-2695332.380332545,-4298856.325977827,3851682.6222121143,402963.0
-2695332.7282856256,-4298857.496126657,3851681.613067099,402964.0
-2695334.541896848,-4298859.8039730275,3851684.1284275204,402965.0
-2695333.1163709634,-4298860.097961684,3851682.3872838225,402966.0
-2695334.141307073,-4298860.736396402,3851684.4810463083,402967.0
-2695337.9260221194,-4298864.923373997,3851685.062148363,402968.0
-2695339.491873343,-4298863.887715995,3851683.7643332737,402969.0
-2695337.0372564383,-4298860.374951338,3851683.3617729745,402970.0
-2695336.5554853054,-4298861.845777574,3851682.4232959975,402971.0
-2695336.652196307,-4298860.971895898,3851681.565395934,402972.0
-2695336.041496288,-4298861.162236966,3851680.075203091,402973.0
-2695338.7823958914,-4298866.268353408,3851681.2472765716,402974.0
-2695337.8420076906,-4298866.635106216,3851682.859327008,402975.0
-2695332.5777912843,-4298861.273795586,3851678.836488297,402976.0
-2695334.69661561,-4298861.846671802,3851678.6365309,402977.0
-2695335.1971097807,-4298859.642782444,3851681.4890822335,402978.0
-2695335.5139677385,-4298856.6727268845,3851682.818377281,402979.0
-2695338.9975964515,-4298854.642816791,3851686.7969691865,402980.0
-2695342.5479815933,-4298850.98493109,3851688.8802469475,402981.0
-2695348.228603048,-4298843.039910006,3851693.2006987086,402982.0
-2695355.59538392,-4298837.764476658,3851701.1502603274,402983.0
-2695358.006207577,-4298826.992159441,3851704.7697893875,402984.0
-2695366.1481028595,-4298822.7177417185,3851710.897499474,402985.0
-2695375.8366769394,-4298811.737404783,3851715.81430232,402986.0
-2695378.072378756,-4298802.452980619,3851715.5131449443,402987.0
-2695381.9630731363,-4298791.90959097,3851723.0601088423,402988.0
-2695388.7828573785,-4298782.030646246,3851725.773172277,402989.0
-2695397.074659244,-4298771.216576219,3851730.475333296,402990.0
-2695402.767770816,-4298762.444714645,3851738.7133369413,402991.0
-2695417.7579929586,-4298757.599353024,3851746.067594132,402992.0
-2695423.4275653306,-4298744.896090982,3851753.547653349,402993.0
-2695431.3580850046,-4298731.651291286,3851761.2620786466,402994.0
-2695437.936123352,-4298717.342760301,3851765.0155662363,402995.0
-2695445.49794147,-4298708.091385504,3851770.1118698022,402996.0
-2695454.8173750513,-4298697.662345964,3851780.4918497237,402997.0
-2695462.6807460682,-4298687.420450555,3851784.507822695,402998.0
-2695472.9178639017,-4298673.98048625,3851790.015126393,402999.0
-2695481.430545847,-4298662.196071376,3851794.574192945,403000.0
-2695492.1695867786,-4298650.606839696,3851804.02489298,403001.0
-2695500.042843083,-4298640.107357895,3851810.1758490745,403002.0
-2695509.7065096633,-4298627.349944172,3851817.2392096478,403003.0
-2695519.971611331,-4298612.445144622,3851824.015045651,403004.0
-2695531.5991627467,-4298603.074926056,3851833.3643123046,403005.0
-2695538.399119408,-4298588.129346708,3851838.674118844,403006.0
-2695548.79275195,-4298575.987096631,3851844.806464345,403007.0
-2695560.372844182,-4298563.732306577,3851856.0806093575,403008.0
-2695571.1274831574,-4298548.495274635,3851861.012846779,403009.0
-2695580.326978242,-4298535.24629476,3851868.394587784,403010.0
-2695589.7490676437,-4298523.785632185,3851875.2925883653,403011.0
-2695599.199554962,-4298512.8000846775,3851882.551644584,403012.0
-2695609.8987911684,-4298502.4764469415,3851892.813007184,403013.0
-2695616.090173514,-4298484.333008742,3851894.848944541,403014.0
-2695627.7449464854,-4298472.32880053,3851904.5369228376,403015.0
-2695631.891533515,-4298456.833368333,3851906.9986717864,403016.0
-2695644.446346674,-4298446.211807933,3851915.867090193,403017.0
-2695653.3967974237,-4298434.350021456,3851927.1687896904,403018.0
-2695665.2622755873,-4298425.383507814,3851934.0076260455,403019.0
-2695675.3427422354,-4298418.262163175,3851945.46770245,403020.0
-2695682.303327093,-4298408.716284446,3851954.6328240894,403021.0
-2695687.809752348,-4298398.499567967,3851960.6342643728,403022.0
-2695693.140674953,-4298388.328581516,3851967.3023225833,403023.0
-2695697.0188639285,-4298381.989710311,3851973.2762019243,403024.0
-2695704.9651278784,-4298371.07048607,3851982.5971777746,403025.0
-2695700.201607608,-4298350.140782717,3851986.096099563,403026.0
-2695717.6677098228,-4298341.894237905,3852000.476517259,403027.0
-2695719.0690857936,-4298328.995632427,3852010.414119519,403028.0
-2695721.124872338,-4298316.23473644,3852017.90022823,403029.0
-2695722.1516618887,-4298301.695101921,3852024.341120126,403030.0
-2695720.50055238,-4298287.023464045,3852032.721865927,403031.0
-2695731.4422587394,-4298278.004035645,3852047.9461269015,403032.0
-2695736.962534174,-4298268.303303491,3852062.3568448992,403033.0
-2695743.0569858444,-4298257.430496398,3852069.346897157,403034.0
-2695747.6419019247,-4298244.791194587,3852079.929043618,403035.0
-2695751.413431786,-4298239.892256755,3852085.075280528,403036.0
-2695753.751899593,-4298228.338650531,3852089.884720425,403037.0
-2695755.6758318795,-4298221.988600391,3852100.5776716713,403038.0
-2695757.948284989,-4298212.630035978,3852106.479725513,403039.0
-2695760.101825844,-4298205.238602737,3852113.6228444627,403040.0
-2695762.8779944982,-4298200.227326907,3852119.6854996555,403041.0
-2695765.162935982,-4298192.418275884,3852122.6703671548,403042.0
-2695765.7976224367,-4298185.727295858,3852123.600887259,403043.0
-2695768.576563909,-4298185.986485654,3852128.3901953953,403044.0
-2695770.697100672,-4298187.626798556,3852131.017046128,403045.0
-2695767.600682858,-4298184.917503971,3852130.4932179945,403046.0
-2695766.542762353,-4298182.305465621,3852128.6033390565,403047.0
-2695769.0668694996,-4298184.315213535,3852130.8820096785,403048.0
-2695766.7783850296,-4298185.529397096,3852126.8690642416,403049.0
-2695765.377821319,-4298185.028482513,3852126.3220071667,403050.0
-2695759.3318036576,-4298181.739422285,3852125.4791014562,403051.0
-2695766.4674566947,-4298186.23927244,3852127.439717395,403052.0
-2695763.990635243,-4298184.956379005,3852127.60328645,403053.0
-2695760.916778227,-4298181.302696739,3852125.4925196758,403054.0
-2695761.555329361,-4298181.821516155,3852128.1439131163,403055.0
-2695770.267479871,-4298187.177411879,3852130.1163580623,403056.0
-2695771.286379737,-4298189.761484998,3852129.9478651783,403057.0
-2695768.4278912437,-4298185.882899712,3852125.1211183644,403058.0
-2695767.1238485454,-4298186.071815899,3852128.6936508343,403059.0
-2695768.6130630192,-4298183.0659901975,3852131.527301402,403060.0
-2695770.891448598,-4298180.53544283,3852135.424875465,403061.0
-2695774.595413695,-4298174.982103314,3852142.152798543,403062.0
-2695775.997531762,-4298166.949294571,3852148.0981836654,403063.0
-2695778.065654545,-4298158.387659735,3852149.2725757947,403064.0
-2695781.153968987,-4298150.014694065,3852155.6025228496,403065.0
-2695786.058158278,-4298143.769043445,3852162.507939693,403066.0
-2695792.187998683,-4298138.568759235,3852167.225002138,403067.0
-2695794.7924501356,-4298125.798665752,3852172.0817963583,403068.0
-2695798.618830828,-4298115.328192692,3852178.3688979805,403069.0
-2695802.4217496994,-4298103.323764417,3852184.720426856,403070.0
-2695810.4916073433,-4298095.534049036,3852192.981479627,403071.0
-2695819.445454155,-4298084.466864316,3852196.6856254977,403072.0
-2695822.9939592825,-4298073.140815578,3852201.1784271537,403073.0
-2695832.676253791,-4298061.999740411,3852210.4991188543,403074.0
-2695838.443415377,-4298053.347095139,3852216.3688308545,403075.0
-2695847.329457405,-4298045.418947261,3852223.525886753,403076.0
-2695852.30597911,-4298032.010320515,3852224.051111282,403077.0
-2695864.4303562385,-4298024.484968489,3852231.612127106,403078.0
-2695872.7406462003,-4298012.022537893,3852237.841465198,403079.0
-2695881.049788743,-4297998.347154658,3852244.665061168,403080.0
-2695891.9071553666,-4297983.294211367,3852247.250977691,403081.0
-2695902.50809524,-4297973.991955887,3852255.5873744627,403082.0
-2695913.637922125,-4297970.4263178455,3852268.1843830068,403083.0
-2695923.726538754,-4297961.895600388,3852275.0102452836,403084.0
-2695932.190345934,-4297945.260865504,3852279.4190301276,403085.0
-2695944.1585910753,-4297931.058312305,3852285.116468783,403086.0
-2695952.650244821,-4297913.634117657,3852290.389304211,403087.0
-2695968.3325025034,-4297911.256613878,3852306.5113933976,403088.0
-2695976.507071376,-4297894.821258111,3852309.0186937,403089.0
-2695986.784009294,-4297880.831787033,3852313.7089163763,403090.0
-2695998.089115799,-4297868.377028882,3852318.5632166816,403091.0
-2696009.708384739,-4297854.79576977,3852326.872417329,403092.0
-2696020.589112638,-4297842.399942002,3852334.0172030674,403093.0
-2696026.28888763,-4297827.673889159,3852338.4797532624,403094.0
-2696038.3631012347,-4297820.240949776,3852350.256366021,403095.0
-2696047.275448371,-4297801.992632527,3852353.791937792,403096.0
-2696053.934613592,-4297792.170997318,3852359.671225237,403097.0
-2696067.162330166,-4297780.005007514,3852368.2597159096,403098.0
-2696073.6720278715,-4297767.821490044,3852369.260803412,403099.0
-2696082.725927945,-4297755.733671589,3852377.8182668453,403100.0
-2696090.050478215,-4297747.384345534,3852382.2707535513,403101.0
-2696098.9974714294,-4297733.393577709,3852385.2923611216,403102.0
-2696108.135921211,-4297726.268179001,3852392.3939867597,403103.0
-2696114.2894841153,-4297718.775031343,3852396.170438585,403104.0
-2696123.1398545965,-4297714.856602222,3852405.601199589,403105.0
-2696129.567816938,-4297702.582343281,3852409.281220577,403106.0
-2696133.366566277,-4297695.63767541,3852410.152584206,403107.0
-2696139.1367499963,-4297688.162625447,3852410.7175949896,403108.0
-2696141.042812154,-4297685.191939779,3852409.8689063955,403109.0
-2696146.5303429626,-4297679.828278528,3852414.341139796,403110.0
-2696149.7597998083,-4297670.327341928,3852418.2795412494,403111.0
-2696153.5384899247,-4297669.53192166,3852420.753404907,403112.0
-2696155.2342132465,-4297667.974202227,3852423.4391783318,403113.0
-2696154.396593107,-4297666.810094243,3852423.1020674286,403114.0
-2696153.102746121,-4297668.349862139,3852421.6091413284,403115.0
-2696151.8591680755,-4297668.266822521,3852423.112458135,403116.0
-2696157.5969078746,-4297669.705826006,3852425.197559075,403117.0
-2696159.0552222542,-4297670.809129235,3852422.407147955,403118.0
-2696156.0336438897,-4297664.992314203,3852420.282298994,403119.0
-2696160.341191093,-4297667.285486338,3852426.0335707664,403120.0
-2696164.124331049,-4297674.449962341,3852427.2786665545,403121.0
-2696160.630724517,-4297671.7097659465,3852423.443625035,403122.0
-2696161.3451815415,-4297667.952646651,3852426.7281021075,403123.0
-2696162.0237653395,-4297672.447866356,3852428.2436386626,403124.0
-2696162.1732652057,-4297671.685729842,3852424.189414101,403125.0
-2696162.506529694,-4297671.431636769,3852424.423850901,403126.0
-2696161.081408572,-4297670.290642468,3852422.1788092568,403127.0
-2696163.559472979,-4297674.8660221435,3852425.769232036,403128.0
-2696166.064608619,-4297679.269890221,3852426.708817534,403129.0
-2696163.8631688543,-4297674.6178424535,3852423.54214572,403130.0
-2696158.881757561,-4297675.131310681,3852427.2523707487,403131.0
-2696163.8861112427,-4297675.692701597,3852430.563749641,403132.0
-2696156.601960595,-4297669.453045059,3852425.6554100327,403133.0
-2696162.0919523533,-4297667.815348539,3852425.6833460187,403134.0
-2696165.275990149,-4297664.806375406,3852426.1570631056,403135.0
-2696170.4015747434,-4297658.407128143,3852429.873111089,403136.0
-2696173.8022950916,-4297650.151549715,3852432.5896279486,403137.0
-2696180.13714868,-4297642.019754319,3852435.768986655,403138.0
-2696185.5471229656,-4297631.891606774,3852437.624076604,403139.0
-2696194.003485413,-4297624.852572022,3852447.819088896,403140.0
-2696206.5305461963,-4297621.88177734,3852457.0194307417,403141.0
-2696212.4040979836,-4297608.724600297,3852462.0565792294,403142.0
-2696218.4588617273,-4297601.8334770575,3852466.6052131583,403143.0
-2696228.151328077,-4297590.565154309,3852473.7802578975,403144.0
-2696234.038056514,-4297577.454036161,3852465.840725969,403145.0
-2696245.3323592157,-4297566.384203268,3852474.864182957,403146.0
-2696256.4096250744,-4297554.940823674,3852486.55547967,403147.0
-2696262.540451959,-4297542.531564967,3852490.557699479,403148.0
-2696269.516868585,-4297528.521177759,3852492.6018107384,403149.0
-2696281.0890430436,-4297518.792053589,3852498.845704909,403150.0
-2696291.433881316,-4297511.873300098,3852508.0903459196,403151.0
-2696303.5243759206,-4297502.638827566,3852516.2872399935,403152.0
-2696302.666730441,-4297483.80126831,3852516.2277985555,403153.0
-2696312.0125043145,-4297473.90580429,3852525.778011507,403154.0
-2696332.2700833185,-4297467.229013571,3852537.057360569,403155.0
-2696336.5181970717,-4297449.177579109,3852535.473549754,403156.0
-2696344.3671378605,-4297436.144793611,3852542.85877456,403157.0
-2696359.056215531,-4297424.840005208,3852551.191673036,403158.0
-2696371.9951258865,-4297412.728294601,3852557.398007864,403159.0
-2696379.5050188033,-4297396.422763883,3852562.806515274,403160.0
-2696388.3235128997,-4297383.192130558,3852568.398091422,403161.0
-2696400.7718396815,-4297370.08633074,3852577.61265518,403162.0
-2696412.316302467,-4297361.076732359,3852587.308396749,403163.0
-2696424.3093682365,-4297350.414877927,3852595.737775785,403164.0
-2696434.854556973,-4297336.748981722,3852599.1731966967,403165.0
-2696444.635747189,-4297326.976667367,3852607.963874352,403166.0
-2696453.267738051,-4297312.292886056,3852614.6981516853,403167.0
-2696462.7584518176,-4297296.634959635,3852620.211073443,403168.0
-2696474.353852234,-4297282.439062664,3852625.525641318,403169.0
-2696484.1347460826,-4297269.308950899,3852632.8009510394,403170.0
-2696496.545424663,-4297256.061577264,3852636.6911166217,403171.0
-2696505.241638747,-4297243.073550296,3852645.1224832023,403172.0
-2696517.9919102443,-4297230.627640173,3852653.443616498,403173.0
-2696529.0042509357,-4297218.602513852,3852659.584224081,403174.0
-2696532.1460770904,-4297203.061082602,3852662.9166715248,403175.0
-2696546.834287091,-4297194.07412616,3852675.717325163,403176.0
-2696550.9072620845,-4297176.403815958,3852680.03352406,403177.0
-2696568.7257338283,-4297171.514823373,3852690.870566199,403178.0
-2696577.034834326,-4297156.923054791,3852697.248090877,403179.0
-2696588.769018816,-4297144.690862847,3852706.4978720224,403180.0
-2696597.5473374245,-4297132.102762623,3852714.296134497,403181.0
-2696605.317856008,-4297115.491061146,3852720.931320777,403182.0
-2696611.5019858773,-4297102.8757965965,3852729.278737958,403183.0
-2696621.4511712235,-4297087.704588641,3852739.7151829773,403184.0
-2696633.0967842336,-4297074.030412129,3852748.9122582786,403185.0
-2696644.97526181,-4297062.743897982,3852755.93183824,403186.0
-2696658.393571773,-4297048.561207122,3852769.9963858193,403187.0
-2696669.2875635806,-4297039.504120739,3852777.0124735236,403188.0
-2696675.4322077692,-4297024.475282639,3852783.5694124717,403189.0
-2696683.154036945,-4297010.127186011,3852791.1503852783,403190.0
-2696693.4319697376,-4296995.82560757,3852802.428296407,403191.0
-2696701.5837682476,-4296981.534762137,3852804.101157567,403192.0
-2696710.356145136,-4296968.999239687,3852810.2330674417,403193.0
-2696716.3824576037,-4296951.280376967,3852815.347810036,403194.0
-2696730.3999036145,-4296942.395160238,3852827.018576719,403195.0
-2696741.1946274554,-4296930.728594651,3852836.308064914,403196.0
-2696748.5471474123,-4296916.911499215,3852842.9013908845,403197.0
-2696760.7485114196,-4296906.558907165,3852853.624984311,403198.0
-2696764.127425462,-4296888.928894146,3852856.214775033,403199.0
-2696771.7255056575,-4296876.70379676,3852863.6510795928,403200.0
-2696780.5807854068,-4296864.821819733,3852871.731593242,403201.0
-2696789.187551818,-4296852.852270401,3852878.807935948,403202.0
-2696798.850416922,-4296841.0605817335,3852887.209738891,403203.0
-2696804.7850205125,-4296826.691612951,3852893.8924112464,403204.0
-2696813.201020252,-4296813.1272966545,3852903.794484859,403205.0
-2696826.127857213,-4296802.128826628,3852910.8189659044,403206.0
-2696836.7728750836,-4296788.034258411,3852917.9993071468,403207.0
-2696843.0156433275,-4296772.970775375,3852926.025342301,403208.0
-2696851.21433389,-4296758.338114173,3852937.5410439675,403209.0
-2696861.462738235,-4296745.754713211,3852944.1325061135,403210.0
-2696869.7586233607,-4296733.954922601,3852956.551092383,403211.0
-2696878.1051609525,-4296723.654722244,3852963.839983545,403212.0
-2696886.923309147,-4296709.794763518,3852973.151154407,403213.0
-2696892.300273016,-4296697.541986904,3852989.9746694053,403214.0
-2696899.899301253,-4296684.908031743,3853003.3556413623,403215.0
-2696901.7650908395,-4296667.139611017,3853010.500466994,403216.0
-2696907.2119669416,-4296653.769031258,3853020.397129627,403217.0
-2696913.272408699,-4296639.932275542,3853031.750371752,403218.0
-2696919.6483352785,-4296627.328192794,3853044.78502532,403219.0
-2696925.5081401044,-4296615.391049434,3853052.7661087853,403220.0
-2696932.6258025295,-4296603.545347621,3853059.255278321,403221.0
-2696936.8073687134,-4296591.770534366,3853070.921684202,403222.0
-2696942.6956354165,-4296579.605631782,3853079.2675759722,403223.0
-2696947.6943102716,-4296568.977249517,3853087.828465121,403224.0
-2696953.6552090435,-4296559.609643065,3853099.2389383754,403225.0
-2696960.015742988,-4296550.882459565,3853106.164627534,403226.0
-2696962.4105939744,-4296539.62762418,3853111.604438971,403227.0
-2696966.617182543,-4296528.578407091,3853119.3454784867,403228.0
-2696969.6945358673,-4296519.804204171,3853130.7399911373,403229.0
-2696970.255090822,-4296512.286119434,3853133.555304998,403230.0
-2696973.785611277,-4296512.7020933125,3853133.692678702,403231.0
-2696979.3630096484,-4296510.377791439,3853135.7229805877,403232.0
-2696979.810825092,-4296503.671285997,3853138.189731158,403233.0
-2696981.5402898686,-4296496.8868059665,3853142.698152006,403234.0
